Picture ID,Category,Description,WordNet_1,WordNet_2,WordNet_3,WordNet_4,WordNet_5,WordNet_6,WordNet_7,,,,,,,,,,,,,,
Faces_255_v,Faces,elderly man,01703749,10133569,,,,,,,,,,,,,,,,,,,
Faces_256_h,Faces,elderly woman,01703749,10626312,,,,,,,,,,,,,,,,,,,
Faces_257_v,Faces,woman smiling,10626312,06785681,,,,,,,,,,,,,,,,,,,
Faces_258_h,Faces,men smiling,10133569,06785681,04319445,,,,,,,,,,,,,,,,,,
Faces_259_v,Faces,mother and child,10178093,09771320,,,,,,,,,,,,,,,,,,,
Faces_260_h,Faces,elderly man,01703749,10133569,02389840,,,,,,,,,,,,,,,,,,
Faces_261_v,Faces,woman smiling,10626312,06785681,,,,,,,,,,,,,,,,,,,
Faces_262_h,Faces,elderly woman,01703749,10626312,,,,,,,,,,,,,,,,,,,
Faces_263_v,Faces,woman smiling,10626312,06785681,,,,,,,,,,,,,,,,,,,
Faces_264_h,Faces,butcher woman,09738415,10626312,,,,,,,,,,,,,,,,,,,
Faces_265_h,Faces,butcher,09738415,10133569,,,,,,,,,,,,,,,,,,,
Faces_266_h,Faces,butcher,09738415,10133569,,,,,,,,,,,,,,,,,,,
Faces_267_v,Faces,cook,09815502,04455810,,,,,,,,,,,,,,,,,,,
Faces_268_h,Faces,butcher woman,09738415,10626312,,,,,,,,,,,,,,,,,,,
Faces_269_v,Faces,soldier,10462567,03430539,,,,,,,,,,,,,,,,,,,
Faces_270_h,Faces,man with a gun,10133569,03430539,,,,,,,,,,,,,,,,,,,
Faces_271_h,Faces,men with guns,10133569,03430539,,,,,,,,,,,,,,,,,,,
Faces_272_h,Faces,masked men with guns,01346090,10133569,03430539,,,,,,,,,,,,,,,,,,
Faces_273_h,Faces,man with guns,10133569,03430539,,,,,,,,,,,,,,,,,,,
Faces_274_h,Faces,man with guns,10133569,03430539,,,,,,,,,,,,,,,,,,,
Faces_275_h,Faces,elderly man,01703749,10133569,,,,,,,,,,,,,,,,,,,
Faces_276_h,Faces,women,10787470,07975026,,,,,,,,,,,,,,,,,,,
Faces_277_h,Faces,box fighters,00433458,09939313,,,,,,,,,,,,,,,,,,,
Faces_278_h,Faces,woman and man,10787470,10287213,,,,,,,,,,,,,,,,,,,
Faces_279_h,Faces,sad people,07942152,10787470,10287213,00066191,,,,,,,,,,,,,,,,,
Faces_280_h,Faces,box fighters,00433458,09939313,05399847,,,,,,,,,,,,,,,,,,
Faces_281_h,Faces,hurting woman,14322699,10787470,,,,,,,,,,,,,,,,,,,
Faces_282_h,Faces,football players,00468480,00523513,10439851,08208560,,,,,,,,,,,,,,,,,
Faces_283_h,Faces,elderly woman crying,07943870,10787470,00066191,,,,,,,,,,,,,,,,,,
Faces_284_h,Faces,crippled man,10287213,09978889,,,,,,,,,,,,,,,,,,,
Faces_285_h,Faces,homeless woman,10182190,10787470,,,,,,,,,,,,,,,,,,,
Faces_286_h,Faces,judo fighters,10287213,00825773,,,,,,,,,,,,,,,,,,,
Faces_287_h,Faces,football player,10287213,,,,,,,,,,,,,,,,,,,,
Faces_288_h,Faces,woman,10787470,02818832,,,,,,,,,,,,,,,,,,,
Faces_289_h,Faces,elderly man,10287213,11508382,15043763,,,,,,,,,,,,,,,,,,
Faces_290_h,Faces,homeless man,10287213,05261566,10182190,,,,,,,,,,,,,,,,,,
Faces_291_h,Faces,police arresting someone,08209687,01215137,,,,,,,,,,,,,,,,,,,
Faces_292_h,Faces,man,10287213,09189411,,,,,,,,,,,,,,,,,,,
Faces_293_h,Faces,police arresting someone,08209687,01215137,,,,,,,,,,,,,,,,,,,
Faces_294_h,Faces,wounded man,10287213,03540595,,,,,,,,,,,,,,,,,,,
Faces_295_h,Faces,judo fighters,10287213,00825773,,,,,,,,,,,,,,,,,,,
Faces_296_h,Faces,man smoking,10287213,01198101,,,,,,,,,,,,,,,,,,,
Faces_297_h,Faces,judo fighters,10287213,00825773,07123012,,,,,,,,,,,,,,,,,,
Faces_298_h,Faces,fighter,10287213,05538625,05399847,,,,,,,,,,,,,,,,,,
Faces_299_h,Faces,box fighters,10287213,00433458,,,,,,,,,,,,,,,,,,,
Faces_300_h,Faces,elderly man,07943870,10287213,05015117,,,,,,,,,,,,,,,,,,
Faces_301_h,Faces,man and woman,10787470,10287213,,,,,,,,,,,,,,,,,,,
Faces_302_h,Faces,homeless man,02022953,10287213,,,,,,,,,,,,,,,,,,,
Faces_303_h,Faces,beggar woman,01049462,02022953,10787470,,,,,,,,,,,,,,,,,,
Faces_304_h,Faces,men in the water,10287213,09225146,,,,,,,,,,,,,,,,,,,
Faces_305_h,Faces,woman,10787470,02773037,,,,,,,,,,,,,,,,,,,
Faces_306_v,Faces,couple,07988857,10287213,10787470,,,,,,,,,,,,,,,,,,
Faces_307_v,Faces,couple,07988857,10287213,10787470,,,,,,,,,,,,,,,,,,
