Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Landscapess_105_v;Landscapes;park;08438533;13104059;00415676;;;;;;;;;;;;;;;;;;
Landscapess_106_v;Landscapes;water;09225146;;;;;;;;;;;;;;;;;;;;
Landscapess_107_h;Landscapes;grass;12102133;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_108_v;Landscapes;waterfall;09225146;09475292;;;;;;;;;;;;;;;;;;;
Landscapess_109_h;Landscapes;water lilies;09328904;09225146;11715810;08436759;;;;;;;;;;;;;;;;;
Landscapess_110_v;Landscapes;rocks;09416076;09303008;;;;;;;;;;;;;;;;;;;
Landscapess_111_h;Landscapes;water lilies;09328904;09225146;11715810;08436759;;;;;;;;;;;;;;;;;
Landscapess_112_v;Landscapes;garden;08436759;08438533;13104059;;;;;;;;;;;;;;;;;;
Landscapess_113_h;Landscapes;sea;09433442;09426788;09225146;;;;;;;;;;;;;;;;;;
Landscapess_114_v;Landscapes;snow;09225146;09475292;15043763;08438533;13104059;;;;;;;;;;;;;;;;
Landscapess_115_v;Landscapes;river;09225146;09448361;15043763;13104059;;;;;;;;;;;;;;;;;
Landscapess_116_v;Landscapes;river;09225146;09448361;13104059;;;;;;;;;;;;;;;;;;
Landscapess_117_h;Landscapes;fields;08436759;13112664;;;;;;;;;;;;;;;;;;;
Landscapess_118_v;Landscapes;burning fields;07302836;00378664;08569998;;;;;;;;;;;;;;;;;;
Landscapess_119_h;Landscapes;plants;11669921;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_120_v;Landscapes;meadow;08570634;08569998;08436759;;;;;;;;;;;;;;;;;;
Landscapess_121_h;Landscapes;sea;03933529;09426788;09225146;;;;;;;;;;;;;;;;;;
Landscapess_122_v;Landscapes;bridge;02898711;15169248;;;;;;;;;;;;;;;;;;;
Landscapess_123_h;Landscapes;sea;09426788;15169248;;;;;;;;;;;;;;;;;;;
Landscapess_124_h;Landscapes;flowers;11669921;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_125_h;Landscapes;flower;12454159;11669921;08436759;;;;;;;;;;;;;;;;;;
Landscapess_126_h;Landscapes;plants;11669921;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_127_h;Landscapes;flowers;12024176;00385756;11669921;08436759;;;;;;;;;;;;;;;;;
Landscapess_128_h;Landscapes;palm trees;12582231;08436759;13104059;;;;;;;;;;;;;;;;;;
Landscapess_129_v;Landscapes;water lilies;09328904;09225146;11715810;08436759;;;;;;;;;;;;;;;;;
Landscapess_130_h;Landscapes;field;09225146;08436759;08569998;;;;;;;;;;;;;;;;;;
Landscapess_131_h;Landscapes;field;08569998;11439690;09436708;;;;;;;;;;;;;;;;;;
Landscapess_132_h;Landscapes;meadow;00385756;11669921;08436759;08570634;09436708;;;;;;;;;;;;;;;;
Landscapess_133_h;Landscapes;flowers;11669921;03991062;00379595;;;;;;;;;;;;;;;;;;
Landscapess_134_h;Landscapes;flowers;00402419;04956594;11669921;;;;;;;;;;;;;;;;;;
Landscapess_135_h;Landscapes;tree;00289082;13104059;;;;;;;;;;;;;;;;;;;
Landscapess_136_h;Landscapes;river;09411430;08436759;00375969;13104059;;;;;;;;;;;;;;;;;
Landscapess_137_h;Landscapes;flower;12454159;11669921;08436759;00385756;04967191;;;;;;;;;;;;;;;;
Landscapess_138_h;Landscapes;sky;11439690;09450163;09436708;13104059;;;;;;;;;;;;;;;;;
Landscapess_139_h;Landscapes;waste;14857497;13104059;;;;;;;;;;;;;;;;;;;
Landscapess_140_v;Landscapes;palm trees;09376198;12582231;09436708;;;;;;;;;;;;;;;;;;
Landscapess_141_h;Landscapes;sky;11439690;09450163;09436708;15169248;;;;;;;;;;;;;;;;;
Landscapess_142_h;Landscapes;water;09328904;08436759;;;;;;;;;;;;;;;;;;;
Landscapess_143_h;Landscapes;flowers;11669921;08436759;00375969;00385756;00381097;;;;;;;;;;;;;;;;
Landscapess_144_h;Landscapes;field;08569998;03327234;08436759;11439690;;;;;;;;;;;;;;;;;
Landscapess_145_h;Landscapes;water;08436759;09225146;;;;;;;;;;;;;;;;;;;
Landscapess_146_h;Landscapes;garden;03417345;08436759;00375969;;;;;;;;;;;;;;;;;;
Landscapess_147_h;Landscapes;flowers;11669921;08436759;00375969;;;;;;;;;;;;;;;;;;
Landscapess_148_h;Landscapes;water;09225146;00375969;08436759;;;;;;;;;;;;;;;;;;
Landscapess_149_h;Landscapes;rocks;09416076;09436708;04968895;;;;;;;;;;;;;;;;;;
Landscapess_150_v;Landscapes;flowers;11669921;04587648;04522168;00378892;00375969;;;;;;;;;;;;;;;;
Landscapess_151_h;Landscapes;desert;08505573;09416076;09436708;;;;;;;;;;;;;;;;;;
Landscapess_152_h;Landscapes;flowers;08436759;00402419;11669921;;;;;;;;;;;;;;;;;;
Landscapess_153_h;Landscapes;desert;08505573;09416076;;;;;;;;;;;;;;;;;;;
Landscapess_154_h;Landscapes;mountains;09436708;09359803;09411430;;;;;;;;;;;;;;;;;;
Landscapess_155_h;Landscapes;trees;13104059;14845743;13125117;;;;;;;;;;;;;;;;;;
Landscapess_156_h;Landscapes;trees;09436708;13104059;;;;;;;;;;;;;;;;;;;
Landscapess_157_h;Landscapes;mountains;09436708;09359803;08505573;04968895;;;;;;;;;;;;;;;;;
Landscapess_158_h;Landscapes;desert;09436708;08505573;04968895;;;;;;;;;;;;;;;;;;
Landscapess_159_h;Landscapes;plants;08436759;03956922;01397497;;;;;;;;;;;;;;;;;;
Landscapess_160_v;Landscapes;forest;13104059;08438533;;;;;;;;;;;;;;;;;;;
Landscapess_161_h;Landscapes;desert;08505573;09436708;04968895;09359803;15019030;;;;;;;;;;;;;;;;
Landscapess_162_h;Landscapes;desert;09436708;09359803;15019030;;;;;;;;;;;;;;;;;;
Landscapess_163_h;Landscapes;desert;04968895;09436708;08505573;09359803;09416076;;;;;;;;;;;;;;;;
Landscapess_164_h;Landscapes;garden;03417749;08436759;00375969;13112664;09328904;13104059;;;;;;;;;;;;;;;
Landscapess_165_h;Landscapes;mountains;09436708;04968895;09225146;08505573;09359803;;;;;;;;;;;;;;;;
Landscapess_166_h;Landscapes;desert;08505573;09416076;08436759;09436708;04968895;;;;;;;;;;;;;;;;
Landscapess_167_h;Landscapes;desert;09436708;04968895;08505573;09359803;;;;;;;;;;;;;;;;;
Landscapess_168_h;Landscapes;forest;15043763;08438533;13104059;;;;;;;;;;;;;;;;;;
Landscapess_169_h;Landscapes;sea;09217230;09376198;11439690;;;;;;;;;;;;;;;;;;
Landscapess_170_h;Landscapes;plants;01397497;15019030;;;;;;;;;;;;;;;;;;;
Landscapess_171_v;Landscapes;leaves;13152742;13163250;04962784;13104059;;;;;;;;;;;;;;;;;
Landscapess_172_h;Landscapes;tree;13104059;09436708;;;;;;;;;;;;;;;;;;;
Landscapess_173_h;Landscapes;rocks;13104059;09416076;08436759;;;;;;;;;;;;;;;;;;
Landscapess_174_h;Landscapes;mountains;09436708;13104059;08438533;09303008;;;;;;;;;;;;;;;;;
Landscapess_175_h;Landscapes;river;09411430;08436759;00375969;08438533;13104059;;;;;;;;;;;;;;;;
