Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
People_111_h;People;hill;09303008;15010703;;;;;;;;;;;;;;;;;;
People_112_h;People;cabins;02932400;09426788;;;;;;;;;;;;;;;;;;
People_113_h;People;seaside;09428628;;;;;;;;;;;;;;;;;;;
People_114_h;People;mist;11482706;14956325;09305898;;;;;;;;;;;;;;;;;
People_115_h;People;desert;08505573;;;;;;;;;;;;;;;;;;;
People_116_h;People;beach;09217230;;;;;;;;;;;;;;;;;;;
People_117_h;People;homeless man;10287213;10182190;04334599;;;;;;;;;;;;;;;;;
People_118_h;People;homeless man;10287213;10182190;04334599;;;;;;;;;;;;;;;;;
People_119_h;People;homeless people;10287213;10182190;04334599;07948314;;;;;;;;;;;;;;;;
People_120_h;People;homeless man;10287213;10182190;04334599;;;;;;;;;;;;;;;;;
People_121_h;People;homeless man;10287213;10182190;04334599;;;;;;;;;;;;;;;;;
People_122_h;People;elderly woman;04334599;01644225;00759944;;;;;;;;;;;;;;;;;
People_123_h;People;fireman;10091651;09284015;13480848;;;;;;;;;;;;;;;;;
People_124_h;People;police arresting someone;10448983;01215137;;;;;;;;;;;;;;;;;;
People_125_h;People;homeless man;10287213;10182190;04334599;02747177;;;;;;;;;;;;;;;;
People_126_h;People;homeless people;10287213;10182190;04334599;07948314;;;;;;;;;;;;;;;;
People_127_h;People;assault;00767826;01170962;04334599;;;;;;;;;;;;;;;;;
People_128_h;People;wounded child;09917593;01318741;;;;;;;;;;;;;;;;;;
People_129_h;People;wound;14298815;;;;;;;;;;;;;;;;;;;
People_130_h;People;diver;10019406;09426788;09376526;;;;;;;;;;;;;;;;;
People_131_h;People;man and dog;10287213;02084071;08663774;;;;;;;;;;;;;;;;;
People_132_h;People;football players;10439851;00468480;;;;;;;;;;;;;;;;;;
People_133_h;People;flood;11454591;03544360;;;;;;;;;;;;;;;;;;
People_134_h;People;flood;11454591;02796623;;;;;;;;;;;;;;;;;;
People_135_h;People;wound;14298815;14956325;;;;;;;;;;;;;;;;;;
People_136_h;People;drunk;10037080;10448983;;;;;;;;;;;;;;;;;;
People_137_h;People;tattooed man;10287213;04395651;;;;;;;;;;;;;;;;;;
People_138_h;People;elderly man;10287213;01644225;15043763;09284015;;;;;;;;;;;;;;;;
People_139_h;People;drowning child;09917593;00360501;;;;;;;;;;;;;;;;;;
People_140_h;People;wounded people;07942152;01318741;03540595;;;;;;;;;;;;;;;;;
People_141_h;People;sad peiople;07942152;01361863;04334599;;;;;;;;;;;;;;;;;
People_142_h;People;homeless man;10287213;10182190;04334599;;;;;;;;;;;;;;;;;
People_143_h;People;homeless woman;10787470;10182190;04334599;;;;;;;;;;;;;;;;;
People_144_h;People;homeless man;10287213;10182190;04314914;;;;;;;;;;;;;;;;;
People_145_h;People;homeless man;10287213;10182190;04334599;;;;;;;;;;;;;;;;;
People_146_h;People;garbage collectors;02747177;04334599;;;;;;;;;;;;;;;;;;
People_147_h;People;patient;10405694;03540595;;;;;;;;;;;;;;;;;;
People_148_h;People;friends;10112591;02828884;09328904;;;;;;;;;;;;;;;;;
People_149_h;People;man and dog;10287213;02084071;04314914;;;;;;;;;;;;;;;;;
People_150_h;People;elderly man;10287213;01644225;;;;;;;;;;;;;;;;;;
People_151_h;People;woman;10787470;09641757;04334599;;;;;;;;;;;;;;;;;
People_152_h;People;shadows;08646306;;;;;;;;;;;;;;;;;;;
People_153_h;People;man and dog;10287213;02084071;04334599;;;;;;;;;;;;;;;;;
People_154_h;People;friends;07942152;09433442;;;;;;;;;;;;;;;;;;
People_155_h;People;legs;05560787;03655072;;;;;;;;;;;;;;;;;;
People_156_h;People;foot;05563266;15019030;;;;;;;;;;;;;;;;;;
People_157_h;People;elderly woman;11669921;07943870;10787470;;;;;;;;;;;;;;;;;
People_158_h;People;woman and pigeons;07943870;10787470;01811909;;;;;;;;;;;;;;;;;
People_159_h;People;elderly man;07943870;10287213;;;;;;;;;;;;;;;;;;
People_160_h;People;snowboarder;15043763;04251791;;;;;;;;;;;;;;;;;;
People_161_h;People;skier;15043763;09359803;10605253;;;;;;;;;;;;;;;;;
People_162_h;People;woman jogging;10787470;01928390;;;;;;;;;;;;;;;;;;
People_163_v;People;elderly man;07943870;10287213;05808794;06410904;;;;;;;;;;;;;;;;
People_164_h;People;foot;05563266;;;;;;;;;;;;;;;;;;;
People_165_v;People;people on motorcycle;07942152;03790512;;;;;;;;;;;;;;;;;;
People_166_h;People;man;10287213;10566072;;;;;;;;;;;;;;;;;;
People_167_h;People;painters;07942152;10391653;;;;;;;;;;;;;;;;;;
People_168_h;People;beach;09217230;07942152;09426788;;;;;;;;;;;;;;;;;
People_169_h;People;elderly couple;10787470;10048218;10287213;07988857;02898711;;;;;;;;;;;;;;;
People_170_v;People;beggar woman;09847010;10048218;10787470;;;;;;;;;;;;;;;;;
People_171_v;People;woman;10787470;10718131;;;;;;;;;;;;;;;;;;
People_172_v;People;man swinging;09225146;10287213;04371774;;;;;;;;;;;;;;;;;
People_173_h;People;diver;10019552;09225146;;;;;;;;;;;;;;;;;;
People_174_v;People;father and child;10080869;09917593;03982060;;;;;;;;;;;;;;;;;
People_175_h;People;skaters;10287213;04334599;04225729;;;;;;;;;;;;;;;;;
People_176_h;People;father and child;10080869;09917593;09433442;;;;;;;;;;;;;;;;;
People_177_h;People;skater;10287213;04334599;04225729;;;;;;;;;;;;;;;;;
People_178_h;People;roller skater;10287213;04334599;04225729;;;;;;;;;;;;;;;;;
People_179_h;People;kayakers;09225146;03609235;10287213;;;;;;;;;;;;;;;;;
People_180_h;People;surfer;09426788;00445055;10287213;07352190;;;;;;;;;;;;;;;;
People_181_v;People;swimming pool;00104147;11485367;03982060;07942152;;;;;;;;;;;;;;;;
People_182_h;People;kite surfers;03621473;09426788;09433442;;;;;;;;;;;;;;;;;
People_183_h;People;parachutist;00303849;09426788;09433442;;;;;;;;;;;;;;;;;
People_184_h;People;feet;05563266;15019030;04133789;;;;;;;;;;;;;;;;;
People_185_h;People;swimming pool;11485367;03982060;07942152;;;;;;;;;;;;;;;;;
People_186_h;People;elderly men;10287213;09366762;09411430;09303008;;;;;;;;;;;;;;;;
People_187_h;People;woman jumping;14845743;10787470;07414222;;;;;;;;;;;;;;;;;
People_188_h;People;diver;09426788;10019552;;;;;;;;;;;;;;;;;;
People_189_h;People;kite surfers;03621473;01948077;09426788;;;;;;;;;;;;;;;;;
People_190_h;People;diver;09426788;10019552;14823036;;;;;;;;;;;;;;;;;
People_191_h;People;hill;09303008;08524735;07942152;;;;;;;;;;;;;;;;;
People_192_h;People;swimming pool;03982060;09225146;;;;;;;;;;;;;;;;;;
People_193_h;People;kite surfer;03621473;01948077;09426788;;;;;;;;;;;;;;;;;
People_194_h;People;rickshaw;03599486;05538625;07942152;;;;;;;;;;;;;;;;;
People_195_h;People;kayakers;03609235;00308370;09366762;;;;;;;;;;;;;;;;;
