Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;
Faces_170_h;Faces;wounded man;%Man=;%EyeGlass+;%Blood=;;;;;;;;;;;;;;;;;
Faces_171_v;Faces;elderly man;%Man=;%Human+;%FacialHair+;;;;;;;;;;;;;;;;;
Faces_172_h;Faces;elderly man;%Man=;%Human+;%Blanket+;;;;;;;;;;;;;;;;;
Faces_173_v;Faces;hurting man;%Vocalizing=;%Head=;;;;;;;;;;;;;;;;;;
Faces_174_h;Faces;mutilated face;%Face+;%Human+;%AnatomicalStructure+;;;;;;;;;;;;;;;;;
Faces_175_v;Faces;woman crying;%Woman=;%TearSubstance+;%Weeping=;;;;;;;;;;;;;;;;;
Faces_176_h;Faces;elderly woman;%Woman=;%Human+;;;;;;;;;;;;;;;;;;
Faces_177_v;Faces;masked man;%Man=;%PoliceOrganization+;%Mask=;;;;;;;;;;;;;;;;;
Faces_178_h;Faces;elderly woman;%Woman=;%Human+;;;;;;;;;;;;;;;;;;
Faces_179_v;Faces;woman;%Woman=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_180_h;Faces;woman;%Woman=;%ProtectiveEyewear+;;;;;;;;;;;;;;;;;;
Faces_181_v;Faces;elderly woman;%Woman=;%Human+;;;;;;;;;;;;;;;;;;
Faces_182_h;Faces;elderly man;%Man=;%Human+;;;;;;;;;;;;;;;;;;
Faces_183_v;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_184_h;Faces;woman;%Woman=;%ProtectiveEyewear+;%Sofa=;;;;;;;;;;;;;;;;;
Faces_185_v;Faces;man;%Man=;%ClothingSuit+;;;;;;;;;;;;;;;;;;
Faces_186_h;Faces;woman;%Woman=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_187_v;Faces;man;%Man=;%ClothingSuit+;;;;;;;;;;;;;;;;;;
Faces_188_h;Faces;woman;%Woman=;%Hijab=;;;;;;;;;;;;;;;;;;
Faces_189_v;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_190_h;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_191_v;Faces;man;%Man=;%FacialHair+;;;;;;;;;;;;;;;;;;
Faces_192_h;Faces;man;%Man=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_193_v;Faces;priest;%Man=;%Collar+;;;;;;;;;;;;;;;;;;
Faces_194_h;Faces;man;%Man=;%EyeGlass+;;;;;;;;;;;;;;;;;;
Faces_195_v;Faces;elderly woman;%Woman=;%Human+;%Clothing+;;;;;;;;;;;;;;;;;
Faces_196_h;Faces;man;%Man=;%Clothing+;%Clothing+;;;;;;;;;;;;;;;;;
Faces_197_v;Faces;woman;%Woman=;%Device+;;;;;;;;;;;;;;;;;;
Faces_198_h;Faces;woman;%Woman=;%PlantLeaf=;;;;;;;;;;;;;;;;;;
Faces_199_v;Faces;elderly man;%Human+;%Man=;%EyeGlass+;;;;;;;;;;;;;;;;;
Faces_200_h;Faces;man;%Man=;%Hat+;%ProtectiveEyewear+;%Window=;%Looking+;;;;;;;;;;;;;;;
Faces_201_v;Faces;priest;%Man=;%SubjectiveAssessmentAttribute+;%Cleric=;%Microphone=;%Communication+;;;;;;;;;;;;;;;
Faces_202_v;Faces;man;%Man=;%Face+;%Device+;%ProtectiveEyewear+;;;;;;;;;;;;;;;;
Faces_203_h;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;%Eating=;%IceCream=;%EyeGlass+;;;;;;;;;;;;;;;
Faces_204_v;Faces;man;%Man=;%ProtectiveEyewear+;%Face+;;;;;;;;;;;;;;;;;
Faces_205_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;%Face+;%EyeGlass+;;;;;;;;;;;;;;;;
Faces_206_v;Faces;woman;%Woman=;%Face+;;;;;;;;;;;;;;;;;;
Faces_207_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;%Face+;%GroupOfPeople=;%GroupOfPeople+;;;;;;;;;;;;;;;
Faces_208_h;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;%Snowing=;%WinterSeason+;%Face+;%GroupOfPeople=;;;;;;;;;;;;;;
Faces_209_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;%Face+;;;;;;;;;;;;;;;;;
Faces_210_h;Faces;man;%Man=;%Face+;%Door+;%HotelBuilding=;;;;;;;;;;;;;;;;
Faces_211_h;Faces;man smiling;%Man=;%Smiling+;%WaterVehicle=;%OccupationalTrade+;;;;;;;;;;;;;;;;
Faces_212_h;Faces;man;%Man=;%WaterVehicle=;%WaterArea=;%Ocean=;%SpaceRegion=;%Blue+;;;;;;;;;;;;;;
Faces_213_v;Faces;men;%Man=;%Man+;%BodyMotion+;%BodyMotion+;%ProtectiveEyewear+;%Roadway=;;;;;;;;;;;;;;
Faces_214_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;%Balcony=;;;;;;;;;;;;;;;;;
Faces_215_v;Faces;woman;%Woman=;%BodyMotion+;%EyeGlass+;;;;;;;;;;;;;;;;;
Faces_216_h;Faces;man;%Man=;%EyeGlass+;%Face+;;;;;;;;;;;;;;;;;
Faces_217_v;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;%Smoking=;%SmokingPipe=;;;;;;;;;;;;;;;;
Faces_218_h;Faces;woman;%Woman=;%ProtectiveEyewear+;%Walking=;;;;;;;;;;;;;;;;;
Faces_219_v;Faces;elderly man;%SubjectiveAssessmentAttribute+;%Man=;%ProtectiveEyewear+;%Hat+;%RecreationOrExercise+;%Game+;;;;;;;;;;;;;;
Faces_220_h;Faces;woman;%Woman=;%EyeGlass+;%Face+;;;;;;;;;;;;;;;;;
Faces_221_v;Faces;man;%Man=;%Face+;%LineFormation+;;;;;;;;;;;;;;;;;
Faces_222_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%SubjectiveAssessmentAttribute+;%EyeGlass+;%BodyMotion+;%Seat+;%Green=;;;;;;;;;;;;;;
Faces_223_v;Faces;woman;%Woman=;%Face+;;;;;;;;;;;;;;;;;;
Faces_224_h;Faces;elderly woman;%SubjectiveAssessmentAttribute+;%Woman=;%Bag+;%Yellow=;%Dress+;%Plant+;%Green=;;;;;;;;;;;;;
