Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7;;;;;;;;;;;;;;
Objects_168_v;Objects;door;03221720;01527420;;;;;;;;;;;;;;;;;;;
Objects_169_h;Objects;baby carriages;02766534;04546855;;;;;;;;;;;;;;;;;;;
Objects_170_v;Objects;toilet;04446521;04435180;;;;;;;;;;;;;;;;;;;
Objects_171_h;Objects;drums;03249569;03250847;;;;;;;;;;;;;;;;;;;
Objects_172_v;Objects;microphone;03759954;00375969;;;;;;;;;;;;;;;;;;;
Objects_173_h;Objects;fence;03327234;00375969;;;;;;;;;;;;;;;;;;;
Objects_174_v;Objects;guitar;03467517;;;;;;;;;;;;;;;;;;;;
Objects_175_h;Objects;garbage;14856263;02718497;;;;;;;;;;;;;;;;;;;
Objects_176_v;Objects;toy;03964744;00375969;;;;;;;;;;;;;;;;;;;
Objects_177_h;Objects;cables;02934168;;;;;;;;;;;;;;;;;;;;
Objects_178_v;Objects;candlestick;02948557;02948072;;;;;;;;;;;;;;;;;;;
Objects_179_h;Objects;objects;00002684;04451818;;;;;;;;;;;;;;;;;;;
Objects_180_v;Objects;coffee table;03063968;02724026;03001627;;;;;;;;;;;;;;;;;;
Objects_181_h;Objects;towel;04459362;04048075;;;;;;;;;;;;;;;;;;;
Objects_182_v;Objects;shower;04208936;04209613;;;;;;;;;;;;;;;;;;;
Objects_183_h;Objects;chessboards;03014317;;;;;;;;;;;;;;;;;;;;
Objects_184_v;Objects;dustbin;02747177;;;;;;;;;;;;;;;;;;;;
Objects_185_h;Objects;sculpture;00937656;06828818;;;;;;;;;;;;;;;;;;;
Objects_186_v;Objects;thermometer;04421872;02053094;;;;;;;;;;;;;;;;;;;
Objects_187_h;Objects;toys and clothes;03964744;02728440;;;;;;;;;;;;;;;;;;;
Objects_188_v;Objects;dustbin;02747177;01506526;;;;;;;;;;;;;;;;;;;
Objects_189_h;Objects;shoes;04199027;;;;;;;;;;;;;;;;;;;;
Objects_190_h;Objects;toy;03964744;02129165;03001627;;;;;;;;;;;;;;;;;;
Objects_191_v;Objects;plastic duck;01846331;03015441;;;;;;;;;;;;;;;;;;;
Objects_192_h;Objects;plastic duck;01846331;14592610;;;;;;;;;;;;;;;;;;;
Objects_193_v;Objects;staircase;04298308;02317598;00392812;;;;;;;;;;;;;;;;;;
Objects_194_h;Objects;glasses;04272054;;;;;;;;;;;;;;;;;;;;
Objects_195_v;Objects;violin;04536866;;;;;;;;;;;;;;;;;;;;
Objects_196_h;Objects;watch straps;04556204;;;;;;;;;;;;;;;;;;;;
Objects_197_v;Objects;knife;03623556;15019030;;;;;;;;;;;;;;;;;;;
Objects_198_h;Objects;coins;13388245;13384557;;;;;;;;;;;;;;;;;;;
Objects_199_v;Objects;candlestick;02948557;02948072;;;;;;;;;;;;;;;;;;;
Objects_200_h;Objects;telephone;04401088;00381097;;;;;;;;;;;;;;;;;;;
Objects_201_v;Objects;cloths;03309808;;;;;;;;;;;;;;;;;;;;
Objects_202_h;Objects;cannon;02950256;04389033;;;;;;;;;;;;;;;;;;;
Objects_203_v;Objects;carousel;02966193;00375969;;;;;;;;;;;;;;;;;;;
Objects_204_h;Objects;containers;03094503;02883344;00375969;;;;;;;;;;;;;;;;;;
Objects_205_h;Objects;sculpture;00937656;09308398;04490091;;;;;;;;;;;;;;;;;;
Objects_206_h;Objects;sink;04223580;00419289;;;;;;;;;;;;;;;;;;;
Objects_207_h;Objects;garbage;14857497;;;;;;;;;;;;;;;;;;;;
Objects_208_h;Objects;wood;15098161;15101854;;;;;;;;;;;;;;;;;;;
Objects_209_h;Objects;kitchen utensils;03621049;03722288;;;;;;;;;;;;;;;;;;;
Objects_210_h;Objects;window grating;04587648;03454707;;;;;;;;;;;;;;;;;;;
Objects_211_h;Objects;wheel;04574999;;;;;;;;;;;;;;;;;;;;
Objects_212_h;Objects;broken window;04587648;00289082;;;;;;;;;;;;;;;;;;;
Objects_213_h;Objects;fence;03327234;00289082;08640739;;;;;;;;;;;;;;;;;;
Objects_214_h;Objects;potteries;03992703;;;;;;;;;;;;;;;;;;;;
