Picture ID;Category;Description;WordNet_1;WordNet_2;WordNet_3;WordNet_4;WordNet_5;WordNet_6;WordNet_7
Faces_169_v;Faces;man smoking;"{10133569} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{00834636} <noun.act> smoke#7, smoking#1 -- (the act of smoking tobacco or other substances; ""he went outside for a smoke""; ""smoking stinks"")";;;;;
Faces_170_h;Faces;wounded man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";{04272054} <noun.artifact> spectacles#1, specs#1, eyeglasses#1,  glasses#1 -- (optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision);"{05399847} <noun.body> blood#1 -- (the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets; ""blood carries oxygen and nutrients to the tissues and carries away waste products""; ""the ancients believed that blood was the seat of the emotions"")";;;;
Faces_171_v;Faces;elderly man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";{05261566} <noun.body> beard#1, face fungus#1, whiskers#1 -- (the hair growing on the lower part of a man's face);;;;
Faces_172_h;Faces;elderly man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";"{02849154} <noun.artifact> blanket#1, cover1#2 -- (bedding that keeps a person warm in bed; ""he pulled the covers over his head and went to sleep"")";;;;
Faces_173_v;Faces;hurting man;"{00913065} <verb.communication> shout1#2, shout out#1, cry1#1, call9#4, yell1#1, scream1#1, holler5#2, hollo#3, squall#2 -- (utter a sudden loud cry; ""she cried with pain when the doctor inserted the needle""; ""I yelled to her from the window but she couldn't hear me"")";"{05538625} <noun.body> head#1, caput#2 -- (the upper part of the human body or the front part of the body in animals; contains the face and brains; ""he stuck his head out the window"")";;;;;
Faces_174_h;Faces;mutilated face;"{05600637} <noun.body> face#1, human face1#1 -- (the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news"")";"{07950786} <noun.group> wounded#1, maimed#1 -- (people who are wounded; ""they had to leave the wounded where they fell"")";{14318714} <noun.state> hematoma#1, haematoma#1 -- (a localized swelling filled with blood);;;;
Faces_175_v;Faces;woman crying;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{05405324} <noun.body> tear1#1, teardrop#2 -- (a drop of the clear salty saline solution secreted by the lacrimal glands; ""his story brought tears to her eyes"")";"{00066191} <verb.body> cry#2, weep#1 -- (shed tears because of sadness, rage, or pain; ""She cried bitterly when she heard the news of his death""; ""The girl in the wheelchair wept with frustration when she could not get up the stairs"")";;;;
Faces_176_h;Faces;elderly woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";;;;;
Faces_177_v;Faces;masked man;"{10287213} <noun.person> man#1, adult male#1 -- (an adult person who is male (as opposed to a woman); ""there were two women and six men on the bus"")";"{08209687} <noun.group> police#1, police force#1, constabulary#1, law1#7 -- (the force of policemen and officers; ""the law came looking for him"")";{03724870} <noun.artifact> mask#1 -- (a covering to disguise or conceal the face);;;;
Faces_178_h;Faces;elderly woman;"{10787470} <noun.person> woman#1, adult female#1 -- (an adult female person (as opposed to a man); ""the woman kept house while the man hunted"")";"{07943870} <noun.group> aged#1, elderly#1 -- (people who are old collectively; ""special arrangements were available for the aged"")";;;;;
